rank,date,prediction_date,code,name,price,change_pct,score,context_source,ret_1d,ret_3d,ret_5d,ret_10d,ret_20d,volume_5_vs_20,close_above_ma20,ma5_gt_ma10,ma10_gt_ma20,near_high20_pct,above_low20_pct,up_days_5,volatility_10d,amplitude_1d,market_first_count,market_2plus_count,market_zt_count,prev_market_first_count,prev_market_2plus_count,prev_market_1to2_rate,open_gap_pct,open_gap_band_high,open_gap_band_mid,open_gap_band_low,open_to_close_pct,lower_wick_ratio,intraday_pullback_pct,open_position_in_day,amplitude_vs_20d,volume_vs_20d,near_limit_open,close_near_high
11,2026-09-22,2026-09-23,605179,一鸣食品,30.04,9.99633833760527,0.12149828070899099,previous_trading_day_state,9.99633833760527,18.8761377127028,20.16,6.148409893992923,0.33400133600534065,0.9617076755194597,1,1,0,-13.354485145659078,20.16,5,4.786200630529397,12.549933422103859,36,23,59,73.0,21.0,0.2191780821917808,-1.0252654705236064,0,0,1,11.13577506474288,0.20159151193633995,2.8930338789493693,0.20159151193633995,1.9219110986611445,1.1532331054933684,0,1
12,2026-09-22,2026-09-23,002141,贤丰控股,7.43,10.07407407407408,0.11659962631952028,previous_trading_day_state,10.07407407407408,14.132104454685091,12.06636500754148,10.730253353204166,21.207177814029365,1.034893435101614,1,1,1,0.0,24.66442953020134,3,4.223537806472428,8.613728129205917,36,23,59,73.0,21.0,0.2191780821917808,1.0370370370370363,0,0,1,8.944281524926678,0.04687500000000041,0.44182621502208974,0.04687500000000041,1.2693471613051879,1.7457873173372067,0,1
13,2026-09-22,2026-09-23,002672,东江环保,4.03,10.10928961748634,0.1157017053314146,previous_trading_day_state,10.10928961748634,9.809264305177123,12.569832402234638,6.052631578947376,8.042895442359255,1.3536239395176188,1,0,0,0.0,12.885154061624672,4,3.150973970024888,10.918114143920604,36,23,59,73.0,21.0,0.2191780821917808,0.2732240437158362,0,0,1,9.809264305177123,0.18181818181818182,2.2284122562674202,0.18181818181818182,4.1761579673148725,2.4079077945282386,0,1
14,2026-09-22,2026-09-23,603893,瑞芯微,217.8,10.000000000000009,0.11241120215955598,previous_trading_day_state,10.000000000000009,20.192042381767017,22.911963882618515,15.488626120154848,24.414486461784545,1.1022716744524583,1,1,0,0.0,23.62356680667499,5,5.400510978102881,6.3820018365472935,36,23,59,73.0,21.0,0.2191780821917808,2.9797979797979934,0,0,1,6.817067189798931,0.0,0.0,0.0,1.948395145029376,2.1413836236554236,0,1
15,2026-09-22,2026-09-23,605178,时空科技,74.79,10.001470804530088,0.1115478307784586,previous_trading_day_state,10.001470804530088,13.576309794988628,15.953488372093027,10.440047253396356,13.249545729860678,1.0545228438072587,1,1,0,0.0,17.538896746817546,4,3.97039785676017,8.824709185720026,36,23,59,73.0,21.0,0.2191780821917808,1.3678482129725111,0,0,1,8.51712130005804,0.11060606060606107,1.0705382020824272,0.11060606060606107,1.7870309941631057,1.1991764349866125,0,1
16,2026-09-22,2026-09-23,601949,中国出版,6.62,9.966777408637872,0.10989435091165331,previous_trading_day_state,9.966777408637872,8.881578947368428,10.887772194304857,-6.099290780141842,26.819923371647512,1.1341855501592817,1,0,1,-6.099290780141842,28.294573643410857,3,5.386652726978268,9.214501510574022,36,23,59,73.0,21.0,0.2191780821917808,0.16611295681063787,0,0,1,9.784411276948578,0.03278688524590238,0.33277870216306127,0.03278688524590238,1.6946220487451096,1.1591529025718104,0,1
17,2026-09-22,2026-09-23,605218,伟时电子,15.94,10.006901311249127,0.10855580337764112,previous_trading_day_state,10.006901311249127,13.12987934705465,17.292126563649735,7.994579945799463,8.583106267029962,1.2378629063253008,1,1,0,0.0,17.292126563649735,5,4.1007941134003145,4.893350062735253,36,23,59,73.0,21.0,0.2191780821917808,4.62387853692201,0,0,1,5.145118733509224,0.0,0.0,0.0,1.3543912743461466,2.691380855248915,0,1
18,2026-09-22,2026-09-23,002301,齐心集团,9.27,9.964412811387891,0.10851466163083029,previous_trading_day_state,9.964412811387891,20.38961038961038,18.998716302952488,16.603773584905657,18.39080459770115,1.2166060952571165,1,1,1,0.0,20.703125,4,4.840937910058856,9.600862998921238,36,23,59,73.0,21.0,0.2191780821917808,0.23724792408066353,0,0,1,9.704142011834316,0.07865168539325686,0.8353221957040358,0.07865168539325686,3.204038110654109,2.172715600474283,0,1
19,2026-09-22,2026-09-23,600403,大有能源,7.6,9.985528219971052,0.10749344084910167,previous_trading_day_state,9.985528219971052,8.571428571428562,13.60239162929744,11.764705882352944,6.891701828410679,0.81520470782814,1,0,1,-2.313624678663251,16.38591117917303,4,4.899421216311948,10.789473684210519,36,23,59,73.0,21.0,0.2191780821917808,-0.868306801736618,0,0,1,10.948905109489049,0.08536585365853591,1.0324483775811188,0.08536585365853591,1.5414115018016352,0.8502699782839518,0,1
20,2026-09-22,2026-09-23,002912,中新赛克,26.38,10.008340283569627,0.10367510516621449,previous_trading_day_state,10.008340283569627,12.735042735042734,-7.275922671353252,34.52320244773075,37.11018711018712,2.4574177679692646,1,1,1,-7.275922671353252,38.042909471480904,2,9.252711979896366,9.28733889310083,36,23,59,73.0,21.0,0.2191780821917808,-0.208507089241039,0,0,1,10.238194734642715,0.0,0.0,0.0,2.7062944348734796,2.8951894524105,0,1
21,2026-09-22,2026-09-23,002313,日海智能,9.3,10.059171597633142,0.10161852735092247,previous_trading_day_state,10.059171597633142,12.864077669902919,14.956736711990114,6.529209621993126,6.896551724137945,0.8690856343060933,1,1,0,0.0,14.956736711990114,4,3.387369847329806,9.569892473118285,36,23,59,73.0,21.0,0.2191780821917808,0.35502958579882726,0,0,1,9.669811320754729,0.0786516853932587,0.832342449464929,0.0786516853932587,3.2267315294867203,2.1188874163163627,0,1
22,2026-09-22,2026-09-23,600815,厦工股份,4.19,9.973753280839915,0.09832480772433612,previous_trading_day_state,9.973753280839915,15.109890109890124,18.696883852691236,0.23923444976077235,7.435897435897454,0.7622868057231041,1,1,0,-8.315098468271332,19.71428571428573,4,4.661520046087006,10.023866348448696,36,23,59,73.0,21.0,0.2191780821917808,-0.5249343832021025,0,0,1,10.554089709762549,0.047619047619047616,0.5305039787798504,0.047619047619047616,1.5520881410461846,1.0784179572437032,0,1
