rank,date,prediction_date,code,name,price,change_pct,score,ret_1d,ret_3d,ret_5d,ret_10d,ret_20d,volume_5_vs_20,close_above_ma20,ma5_gt_ma10,ma10_gt_ma20,near_high20_pct,above_low20_pct,up_days_5,volatility_10d,amplitude_1d,market_first_count,market_2plus_count,market_zt_count,prev_market_first_count,prev_market_2plus_count,prev_market_1to2_rate,open_gap_pct,open_gap_band_high,open_gap_band_mid,open_gap_band_low,open_to_close_pct,lower_wick_ratio,intraday_pullback_pct,open_position_in_day,amplitude_vs_20d,volume_vs_20d,near_limit_open,close_near_high
11,2026-09-18,2026-09-21,603120,肯特催化材料,59.21,9.994,0.14472037783717864,9.994426899498432,14.814814814814813,20.32107295265191,29.505686789151355,22.791372874326022,1.553666857198628,1,1,1,0.0,29.562363238512024,4,5.209169126686396,8.799189326127346,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.8545420769087819,0,0,1,9.062442438754847,0.055662188099807886,0.5370370370370248,0.055662188099807886,1.9149563195346806,2.273538195973907,0,1
12,2026-09-18,2026-09-21,603001,奥康国际,10.43,10.021,0.14231737479299797,10.021097046413496,17.58737316798198,16.928251121076233,16.276477146042346,26.424242424242415,0.8303682687665744,1,1,1,0.0,29.244114002478305,4,4.422520633285915,11.697027804410345,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,-0.9493670886075889,0,0,1,11.075612353567621,0.1475409836065573,1.9543973941368087,0.1475409836065573,2.351133976978951,1.7610537683361713,0,1
13,2026-09-18,2026-09-21,600881,亚泰集团,1.93,10.286,0.14191389181922442,10.285714285714276,12.209302325581394,3.208556149732611,3.7634408602150504,-1.5306122448979553,0.8833288238801638,1,0,0,-6.763285024154586,12.209302325581394,3,5.614055987805817,10.362694300518132,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,-0.5714285714285672,0,0,1,10.919540229885062,0.05000000000000006,0.5780346820809301,0.05000000000000006,2.110816768480079,1.1582017301702108,0,1
14,2026-09-18,2026-09-21,002134,天津普林,27.1,9.984,0.14080645729021202,9.983766233766245,11.385121249486252,16.709732988802763,21.688370004490352,27.469426152398867,1.711425670881994,1,1,1,0.0,31.74526008750609,3,5.765709520232623,7.712177121771218,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,1.5016233766233844,0,0,1,8.356657337065165,0.0,0.0,0.0,1.5427724482428593,2.335774142086358,0,1
15,2026-09-18,2026-09-21,002161,远 望 谷,7.25,10.015,0.13923644236987032,10.01517450682854,11.196319018404921,-9.825870646766155,3.86819484240688,25.432525951557096,2.0604604521685337,1,0,1,-9.825870646766155,25.21588946459412,2,5.501633094482219,9.931034482758617,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.9104704097116834,0,0,1,9.022556390977442,0.16666666666666688,1.8376722817764257,0.16666666666666688,1.7723980825704584,1.4860744199559557,0,1
16,2026-09-18,2026-09-21,002713,东易日盛,10.92,9.97,0.13620104001170136,9.969788519637458,14.705882352941192,13.631633714880342,18.954248366013072,17.29323308270676,0.9711352256735437,1,1,1,0.0,20.66298342541435,4,3.46729950657853,7.783882783882781,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,2.114803625377659,0,0,1,7.692307692307687,0.08235294117647096,0.6951340615690249,0.08235294117647096,1.7044356645885141,1.5572282577764576,0,1
17,2026-09-18,2026-09-21,002298,中电鑫龙,9.0,10.024,0.13468370498703788,10.02444987775062,5.017502917152861,6.635071090047395,4.408352668213467,12.923462986198242,1.170527914400403,1,1,1,0.0,13.350125944584379,2,2.4938442732575075,9.333333333333332,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.12224938875304847,0,0,1,9.8901098901099,0.035714285714284956,0.3676470588235281,0.035714285714284956,2.3882891081612465,1.3348606396933551,0,1
18,2026-09-18,2026-09-21,600719,大连热电,8.42,10.065,0.13137239452472224,10.065359477124169,9.49284785435629,10.498687664041984,13.020134228187906,19.60227272727273,1.6780135814183708,1,1,1,0.0,22.028985507246368,3,2.798922325045782,9.263657957244659,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,-0.13071895424837665,0,0,1,10.209424083769637,0.0,0.0,0.0,2.76864445539593,2.996539756806013,0,1
19,2026-09-18,2026-09-21,002980,华盛昌,128.03,10.001,0.13038009727379551,10.000859180341948,8.592027141645463,0.6525157232704304,19.252980625931436,30.058919138561556,0.9630281909416324,1,0,1,-4.682846932698026,38.00797671661098,2,4.886138763853029,10.388190267905957,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,1.4434229744823446,0,0,1,8.435673752858474,0.2511278195488714,2.9111827769545906,0.2511278195488714,1.64611774611184,1.4117913040744576,0,1
20,2026-09-18,2026-09-21,603375,盛景微电子,51.69,10.002,0.12999834604547048,10.002128112364318,14.968861209964412,18.85490917452286,19.101382488479256,31.828615149196615,1.4420477333168686,1,1,1,0.0,39.288601455133374,3,4.359246424806607,8.144708841168507,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,3.319855288359208,0,0,1,6.467559217301755,0.25415676959619954,2.2535804549283833,0.25415676959619954,1.6023463539020255,3.66468617749097,0,1
